DrugName,DrugClass,TargetName,TargetType,InteractionLevel
Aspirin,Anti-inflammatory,COX-1,Enzyme,High
Aspirin,Anti-inflammatory,COX-2,Enzyme,Medium
Imatinib,Kinase inhibitor,BCR-ABL,Protein,High
Imatinib,Kinase inhibitor,PDGFR,Protein,Medium
Metformin,Biguanide,AMPK,Protein,High
Paracetamol,Analgesic,COX-2,Enzyme,High
Gefitinib,EGFR inhibitor,EGFR,Protein,High
Trastuzumab,Monoclonal antibody,HER2,Protein,High
Tamoxifen,Estrogen receptor modulator,ER-alpha,Protein,Medium
Clopidogrel,Antiplatelet,P2Y12,Receptor,High
Atorvastatin,Statin,HMGCR,Enzyme,High
Simvastatin,Statin,HMGCR,Enzyme,Medium
Losartan,Angiotensin receptor blocker,AGTR1,Receptor,High
Captopril,ACE inhibitor,ACE,Enzyme,High
Ibuprofen,NSAID,COX-1,Enzyme,Medium
Ibuprofen,NSAID,COX-2,Enzyme,Medium
Rituximab,Monoclonal antibody,CD20,Protein,High
Nivolumab,Checkpoint inhibitor,PD-1,Protein,High
Pembrolizumab,Checkpoint inhibitor,PD-1,Protein,High
Fluoxetine,SSRI,SERT,Transporter,High
Varenicline,Beta blocker,5-HTT,Protein,Low
Insulin,Kinase inhibitor,PDGFR,Protein,High
Doxycycline,Antibiotic,5-HTT,Protein,Medium
Topiramate,Antidepressant,PDGFR,Protein,Medium
Oseltamivir,Statin,P2Y12,Receptor,High
Escitalopram,Antibiotic,CYP3A4,Enzyme,Low
Albuterol,Antipsychotic,AMPK,Protein,Medium
Allopurinol,Kinase inhibitor,GLP-1R,Receptor,High
Levothyroxine,Anticonvulsant,GLP-1R,Receptor,Medium
Donepezil,Calcium channel blocker,VEGFR,Protein,High
Losartan,Statin,COX-2,Enzyme,High
Enalapril,Antibiotic,5-HTT,Protein,Medium
Hydrochlorothiazide,Bronchodilator,COX-1,Enzyme,Low
Hydrochlorothiazide,Antihistamine,COX-1,Enzyme,High
Donepezil,Anticoagulant,AMPK,Protein,High
Quetiapine,SSRI,5-HTT,Protein,Low
Bupropion,Statin,Beta-2 receptor,Receptor,Medium
Methotrexate,Diuretic,mGluR5,Receptor,Medium
Sertraline,Thyroid hormone,COX-1,Enzyme,Low
Amlodipine,Bronchodilator,PDGFR,Protein,Low
Allopurinol,Anticonvulsant,Histamine H1 receptor,Receptor,High
Cetirizine,Proton pump inhibitor,Beta-2 receptor,Receptor,Low
Rivaroxaban,Anticoagulant,mGluR5,Receptor,Medium
Bupropion,Beta blocker,Beta-1 receptor,Receptor,Medium
Simvastatin,Kinase inhibitor,Beta-1 receptor,Receptor,Low
Donepezil,Antihistamine,mGluR5,Receptor,Medium
Diazepam,Anticonvulsant,COX-2,Enzyme,High
